,ID,Sample,Texapon SB 3 KC,Plantapon ACG 50,Plantapon LC 7,Plantacare 818,Plantacare 2000,Dehyton MC,Dehyton PK 45,Dehyton ML,Dehyton AB 30,Plantapon Amino SCG-L,Plantapon Amino KG-L,Dehyquart A-CA,Luviquat Excellence,Dehyquart CC6,Dehyquart CC7 Benz,Salcare Super 7,Arlypon F,Arlypon TT,Water,Sample Density
80,80,80,0,0,0,0,8.45,0,0,0,0,0,8.76,0,1.7,0,0,0,0,3.06,78.03,1.01
81,81,81,0,0,0,0,11.6,0,0,0,0,0,0,11.02,2.15,0,0,0,0,1.63,73.6,1.01
82,82,82,0,0,0,0,0,11.27,9.11,0,0,0,0,0,2.12,0,0,0,0,3.43,74.07,1.02
83,83,83,0,0,0,0,0,9.13,0,9.8,0,0,0,0,3.08,0,0,0,0,2.59,75.4,1.02
84,84,84,0,0,0,0,0,9.48,0,0,8.56,0,0,0,1.47,0,0,0,0,4.37,76.12,1.01
85,85,85,0,0,0,0,0,11.4,0,0,0,11.66,0,0,1.8,0,0,0,0,3.89,71.25,1.02
86,86,86,0,0,0,0,0,9,0,0,0,0,12.37,0,1.19,0,0,0,0,2.27,75.17,1.01
87,87,87,0,0,0,0,0,11.49,0,0,0,0,0,9.68,1.08,0,0,0,0,3.23,74.52,1
88,88,88,0,0,0,0,0,0,11.86,6.3,0,0,0,0,2.82,0,0,0,0,4.34,74.68,1.01
89,89,89,0,0,0,0,0,0,0,0,11.56,0,0,8.63,2.04,0,0,0,0,4.28,73.49,1
90,90,90,0,0,0,0,0,0,12.41,0,0,13.07,0,0,2.49,0,0,0,0,2.57,69.46,1.01
91,91,91,0,0,0,0,0,0,12.8,0,0,0,12.62,0,1.93,0,0,0,0,3.74,68.91,1.01
92,92,92,0,0,0,0,0,0,11.23,0,0,0,0,10.15,1.06,0,0,0,0,3.94,73.62,1
93,93,93,0,0,0,0,0,0,0,7.46,13.11,0,0,0,1.65,0,0,0,0,4.67,73.11,1.01
94,94,94,0,0,0,0,0,0,0,9,0,11.63,0,0,1.15,0,0,0,0,4.11,74.11,1.01
95,95,95,0,0,0,0,0,0,0,10.06,0,0,12.17,0,2.66,0,0,0,0,1.73,73.38,1.01
96,96,96,0,0,0,0,0,0,0,10.1,0,0,0,8.64,2.77,0,0,0,0,2.22,76.27,1
97,97,97,11.34,0,0,0,0,0,0,0,12.96,0,0,0,2.95,0,0,0,0,1.09,71.65,1.02
98,98,98,0,0,0,0,0,0,0,0,0,12.93,0,8.9,1.14,0,0,0,0,1.12,75.91,1
99,99,99,0,0,0,0,0,0,8.09,0,0,0,0,8.36,2.65,0,0,0,0,1.08,79.83,1
100,100,100,0,0,0,0,0,0,9.73,0,0,0,11.42,0,1.4,0,0,0,0,1.29,76.16,1.01
101,101,101,0,0,0,0,0,10.43,0,0,12.68,0,0,0,1.1,0,0,0,0,1.48,74.32,1.01
102,102,102,0,0,0,10.35,10.68,0,0,0,0,0,0,0,2.26,0,0,0,0,1.04,75.67,1.02
103,103,103,0,0,0,0,0,0,0,0,8.28,0,0,10.31,2.83,0,0,0,0,1.54,77.04,1
104,104,104,0,0,0,0,0,0,0,0,10.45,12.89,0,0,2.55,0,0,0,0,4.98,69.12,1.01
105,105,105,8.7,11.72,0,0,0,0,0,0,0,0,0,0,2.37,0,0,0,0,1.21,76,1.03
106,106,106,0,12.95,0,0,0,0,0,11.31,0,0,0,0,2.86,0,0,0,0,4.87,68.01,1.03
107,107,107,0,12.99,0,0,0,0,0,0,0,0,12.14,0,1.6,0,0,0,0,1.41,71.85,1.02
108,108,108,0,0,0,0,0,12.57,0,0,0,8.79,0,0,3,0,0,0,0,1.9,73.74,1.02
109,109,109,0,12.61,0,0,0,0,0,11.12,0,0,0,0,1.37,0,0,0,0,1.01,73.89,1.03
110,110,110,0,0,9.83,0,0,0,0,0,0,0,0,12.86,1.1,0,0,0,0,1.28,74.93,1
111,111,111,0,0,0,10.75,9.07,0,0,0,0,0,0,0,1.01,0,0,0,0,1.06,78.11,1.02
112,112,112,0,0,0,0,0,0,0,0,0,8.24,0,11.73,2.05,0,0,0,0,1.11,76.87,1
113,113,113,0,0,0,0,0,12.94,8.36,0,0,0,0,0,2.98,0,0,0,0,1.24,74.47,1.02
114,114,114,0,0,0,0,0,12,0,0,11.25,0,0,0,2.89,0,0,0,0,4.96,68.89,1.01
115,115,115,0,0,0,0,0,0,10.56,11.49,0,0,0,0,1.24,0,0,0,0,1.54,75.16,1.01
116,116,116,0,12.99,0,0,0,0,0,0,0,0,12.14,0,1.6,0,0,0,0,1.41,71.85,1.02
117,117,117,0,0,0,10.19,0,12.94,0,0,0,0,0,0,1.97,0,0,0,0,4.98,69.92,1.02
118,118,118,0,0,0,0,0,0,9.7,0,0,0,0,11.32,2.75,0,0,0,0,1.17,75.06,1
119,119,119,0,0,0,0,11.03,0,0,0,0,0,0,12.82,1.3,0,0,0,0,4.23,70.62,1
120,120,120,0,0,0,0,0,0,0,12.32,0,9.96,0,0,2.79,0,0,0,0,1.05,73.88,1.02
121,121,121,0,0,0,0,0,8.48,0,0,0,12.76,0,0,2.45,0,0,0,0,1.47,74.83,1.01
122,122,122,0,0,0,0,0,0,0,0,9.27,0,0,11.84,2.87,0,0,0,0,2.07,73.94,1
123,123,123,0,0,0,0,12.66,12.99,0,0,0,0,0,0,1.03,0,0,0,0,4.51,68.8,1.02
124,124,124,0,0,0,0,0,0,0,12.76,9.59,0,0,0,1.21,0,0,0,0,1.31,75.13,1.01
125,125,125,0,0,0,0,0,10.97,0,9.37,0,0,0,0,1.92,0,0,0,0,1.21,76.52,1.02
126,126,126,0,0,0,0,12.49,0,0,0,0,0,0,8.17,2.74,0,0,0,0,4.55,72.05,1.01
